green_access,transit_access,services_access,livability_score
0.0,0.0,0.638888888888889,0.212962962962963
1.0,1.0,0.22222222222222227,0.7407407407407408
0.0,0.0,0.1388888888888889,0.0462962962962963
1.0,0.0,0.2777777777777778,0.4259259259259259
0.0,0.0,0.5555555555555556,0.1851851851851852
0.0,0.0,0.0,0.0
0.0,0.0,0.08333333333333334,0.02777777777777778
0.0,0.0,0.2777777777777778,0.0925925925925926
0.0,0.0,0.9166666666666667,0.3055555555555556
0.0,1.0,1.0,0.6666666666666666
1.0,0.0,0.5555555555555556,0.5185185185185185
1.0,0.0,0.22222222222222227,0.40740740740740744
1.0,1.0,0.30555555555555564,0.7685185185185186
1.0,0.0,0.08333333333333334,0.3611111111111111
0.0,1.0,0.22222222222222227,0.40740740740740744
0.0,0.0,0.44444444444444453,0.14814814814814817
0.0,1.0,0.36111111111111116,0.4537037037037037
0.0,1.0,0.0,0.3333333333333333
0.0,0.0,0.2777777777777778,0.0925925925925926
0.0,1.0,0.7777777777777778,0.5925925925925926
0.0,1.0,0.7777777777777778,0.5925925925925926
0.0,0.0,0.22222222222222227,0.07407407407407408
1.0,0.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0
0.0,0.0,0.4166666666666667,0.1388888888888889
1.0,1.0,0.1388888888888889,0.7129629629629629
1.0,0.0,0.30555555555555564,0.4351851851851852
0.0,0.0,0.638888888888889,0.212962962962963
0.0,0.0,0.0,0.0
0.0,0.0,0.08333333333333334,0.02777777777777778
0.0,0.0,0.7222222222222222,0.24074074074074073
0.0,0.0,0.16666666666666669,0.05555555555555556
0.0,0.0,0.08333333333333334,0.02777777777777778
1.0,0.0,0.1388888888888889,0.3796296296296296
0.0,0.0,0.08333333333333334,0.02777777777777778
0.0,0.0,0.36111111111111116,0.12037037037037039
0.0,0.0,0.7222222222222222,0.24074074074074073
1.0,0.0,0.9166666666666667,0.638888888888889
1.0,0.0,0.1388888888888889,0.3796296296296296
0.0,0.0,0.7777777777777778,0.25925925925925924
1.0,0.0,0.7222222222222222,0.5740740740740741
0.0,0.0,0.8333333333333334,0.2777777777777778
0.0,0.0,0.5555555555555556,0.1851851851851852
1.0,0.0,1.0,0.6666666666666666
1.0,1.0,0.7222222222222222,0.9074074074074074
1.0,0.0,0.2777777777777778,0.4259259259259259
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.2777777777777778,0.0925925925925926
1.0,1.0,0.5833333333333334,0.8611111111111112
0.0,1.0,0.0,0.3333333333333333
0.0,0.0,0.0,0.0
0.0,0.0,0.7777777777777778,0.25925925925925924
0.0,0.0,0.7777777777777778,0.25925925925925924
1.0,0.0,0.9166666666666667,0.638888888888889
0.0,0.0,0.0,0.0
0.0,0.0,0.16666666666666669,0.05555555555555556
1.0,0.0,0.9166666666666667,0.638888888888889
0.0,0.0,0.0,0.0
0.0,0.0,0.08333333333333334,0.02777777777777778
1.0,1.0,0.22222222222222227,0.7407407407407408
1.0,0.0,0.22222222222222227,0.40740740740740744
0.0,0.0,0.4166666666666667,0.1388888888888889
0.0,1.0,0.5000000000000001,0.5
1.0,0.0,0.16666666666666669,0.3888888888888889
0.0,1.0,0.638888888888889,0.5462962962962963
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.9166666666666667,0.3055555555555556
1.0,0.0,0.16666666666666669,0.3888888888888889
1.0,0.0,0.5000000000000001,0.5
1.0,0.0,1.0,0.6666666666666666
0.0,0.0,0.08333333333333334,0.02777777777777778
0.0,0.0,0.9166666666666667,0.3055555555555556
0.0,1.0,0.4166666666666667,0.47222222222222227
0.0,0.0,0.08333333333333334,0.02777777777777778
1.0,1.0,0.0,0.6666666666666666
0.0,0.0,0.5833333333333334,0.19444444444444445
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.3333333333333333
1.0,0.0,0.7222222222222222,0.5740740740740741
1.0,0.0,0.7222222222222222,0.5740740740740741
0.0,0.0,0.5833333333333334,0.19444444444444445
0.0,0.0,0.861111111111111,0.28703703703703703
0.0,0.0,0.22222222222222227,0.07407407407407408
0.0,1.0,0.30555555555555564,0.4351851851851852
1.0,1.0,0.08333333333333334,0.6944444444444445
0.0,0.0,0.7777777777777778,0.25925925925925924
1.0,0.0,0.08333333333333334,0.3611111111111111
0.0,1.0,0.0,0.3333333333333333
0.0,1.0,0.0,0.3333333333333333
0.0,0.0,0.7777777777777778,0.25925925925925924
0.0,0.0,0.36111111111111116,0.12037037037037039
1.0,0.0,0.30555555555555564,0.4351851851851852
1.0,0.0,0.9166666666666667,0.638888888888889
0.0,0.0,0.08333333333333334,0.02777777777777778
1.0,1.0,0.5833333333333334,0.8611111111111112
1.0,1.0,0.9166666666666667,0.9722222222222223
0.0,0.0,0.5555555555555556,0.1851851851851852
1.0,0.0,0.36111111111111116,0.4537037037037037
